BOX,Experiment,Date_added,Predated,Date_Predated,Puncture,MissingEgg,Year,EggsRemaining,natural predation laying/check date,predation date,,,
U001,0,,,,,,2022,,,,,,
U002,NA,,,,,,2022,,,,,,
U003,NA,,,,,,2022,,,,,,
U004,NA,,,,,,2022,OWL,,,,,
U005,1,12/04/2022,1,07/05/2022,1,1,2022,,9910308906217HP4 Camera,,,,
U006,1,12/04/2022,0,NA,NA,NA,2022,,,,,,
U007,1,12/04/2022,1,06/05/2022,,1,2022,1,,,,,
U008,0,,NA,,,,2022,OWL,,12/04/2022,,,NO CHICKS BUT MAYBE HATCHED AND DIED
U009,1,22/04/2022,NA,,,,2022,,,,,,
U010,1,22/04/2022,0,NA,NA,NA,2022,,,,,,
U011,0,NA,NA,,,,2022,,,,,,
U012,0,,,,,,2022,,,,,,
U013,0,,,,,,2022,,,,,,
U014,1,11/04/2022,1,06/05/2022,NA,1,2022,0,,,,,
U015,1,11/04/2022,NA,NA,,,2022,,,,,,
U15a GONE,NA,,,,,,2022,,,,,,
U016,1,11/04/2022,NA,,,,2022,,,,,,
U017,0,,,,,,2022,,,,,,
U018,1,11/04/2022,0,NA,,,2022,,,,,,
U019,1,,NA,,,,2022,OWL,,,,,
U020,NA,,,,,,2022,OWL,,,,,
U021,1,12/04/2022,1,12/05/2022,,1,2022,01/01/1900,,,,,
U022,1,NA,NA,NA,,,2022,,,,,,
U023,0,,,,,,2022,,,,,,
U024,0,,,,,,2022,FAILED OWL,,,,,
U025a,1,12/04/2022,0,NA,,,2022,,,,,,
U025,1,12/04/2022,0,,,,2022,,,,,,
U026,0,,,,,,2022,,,,,,
U027,0,,,,,,2022,,,,,,
U028,0,,,,,,2022,OWL,,,,,
U029,0,,,,,,2022,,,,,,
U030,1,14/04/2022,0,,,,2022,,,,,,
U031,1,15/04/2022,0,,,,2022,,,,,,
U032,0,,,,,,2022,,,,,,
U033,0,,,,,,2022,,,,,,
U034,1,14/04/2022,0,,,,2022,,,,,,
U035,1,14/04/2022,1,,,1,2022,0,,,,,
U036,0,,,,,,2022,OWL,,,,,
U037,1,14/04/2022,1,NA,,1,2022,,,,,,
U038,1,14/04/2022,0,,,,2022,,,,,,
U039,0,,,,,,2022,,,,,,
U040,0,,,,,,2022,,,,,,
U041,1,14/04/2022,0,,,,2022,,,,,,
U042,1,14/04/2022,1,,,1,2022,1,,,,,
U043,1,14/04/2022,0,,,,2022,,,,,,
U044,1,14/04/2022,0,,,,2022,,,,,,
U044B,NA,,,,,,2022,,,,,,
U045,1,11/04/2022,0,,,,2022,,,,,,
U050,1,11/04/2022,1,,,1,2022,,,,,,
U050a,1,11/04/2022,0,,,,2022,,,,,,
U051,1,11/04/2022,0,,,,2022,,,,,,
U052,NA,,,,,,2022,,,,,,
U053,1,11/04/2022,0,,,,2022,,,,,,
U051a,1,11/04/2022,0,,,,2022,,,,,,
U054,1,,NA,,,,2022,OWL,,,,,
U055,0,,,,,,2022,OWL,,,,,
U057,0,,,,,,2022,,,,,,
U058,1,NA,,,,,2022,,,,,,
U059,1,NA,NA,,,,2022,OWL,,08/05/2022,,,
U060,1,11/04/2022,1,,0,1,2022,1,,,,,
U061,1,11/04/2022,0,,,,2022,,,,,,
U062,1,11/04/2022,0,,,,2022,,,,,,
U063,0,NA,,,,,2022,,,,,,
U064,1,NA,,,,,2022,,,,,,
U065,1,NA,,,,,2022,,,,,,
U066,NA,,,,,,2022,,,,,,
U067,0,,,,,,2022,,,,,,
U068,1,10/04/2022,1,,,1,2022,0,,,,,
U070,1,10/04/2022,0,,,,2022,,,,,,
U071,0,NA,,,,,2022,,,,,,
U072,1,NA,,,,,2022,,,,,,
U073,0,,,,,,2022,OWL,,,,,
U074,0,NA,1,,,,2022,,,13/04/2022,,,
U075,0,NA,,,,,2022,,,,,,
U079,1,11/04/2022,0,,,,2022,,,,,,
U080,1,11/04/2022,NA,,,,2022,OWL,,,,,
U081,1,11/04/2022,0,,,,2022,,,,,,
U082,1,11/04/2022,0,,,,2022,,,,,,
U083,1,11/04/2022,0,,,,2022,,,,,,
U084,1,11/04/2022,NA,,,,2022,,,,,,
U085,1,09/05/2022,1,29/05/2022,,1,2022,01/01/1900,CAMERA,,,,
U086,1,11/04/2022,0,NA,,,2022,,,,,,
U087,1,13/04/2022,0,NA,,,2022,,,,,,
U088,0,NA,,,,,2022,OWL,,,,,
U089,0,NA,NA,,1,,2022,,,13/04/2022,,,
U090,0,NA,NA,,,,2022,OWL,,,,,
U091,0,NA,NA,,,,2022,OWL,,13/04/2022,,,
U092,1,12/04/2022,1,13/05/2022,NA,1,2022,00/01/1900,,,,,
U092a,0,,,,,,2022,,,,,,
U093,1,15/04/2022,0,,,,2022,,,,,,
U094,1,15/04/2022,1,11/05/2022,,1,2022,0,,,,,
U095,1,15/04/2022,1,11/05/2022,0,1,2022,,,,,,
U096,01/01/1900,15/04/2022,1,11/05/2022,,1,2022,,,,,,
U097,,,,,,,2022,,,,,,
U098,1,11/04/2022,1,11/05/2022,,1,2022,,,,,,
U099,1,11/04/2022,1,08/05/2022,,1,2022,1,,,,,
U100,1,10/04/2022,1,08/05/2022,0,1,2022,01/01/1900,,,,,
U101,1,NA,,,,,2022,,,,,,
U102,1,10/04/2022,1,11/05/2022,,1,2022,,,,,,
U103,NA,,,,,,2022,,,,,,
U104,0,,,,,,2022,OWL,,,,,
U105,1,10/04/2022,0,,,,2022,,,,,,
U106,1,10/04/2022,1,,,1,2022,1,,,,,
U107,1,10/04/2022,1,18/05/2022,NA,1,2022,,,,,,
U108,0,NA,,,,,2022,,,,,,
U109 (TAKEN DOWN),NA,,,,,,2022,,,,,,
U110 (GONE),NA,,,,,,2022,,,,,,
U111 DOWN,NA,,,,,,2022,,,,,,
U111A,1,NA,,,,,2022,,,,,,
U112,NA,,,,,,2022,,,,,,
U113,1,15/04/2022,0,,,,2022,,,,,,
U114,1,NA,,,,,2022,,,,,,
U115,1,NA,,,,,2022,,,,,,
U116,1,14/04/2022,0,,,,2022,,,,,,
U117,1,14/04/2022,0,,,,2022,,,,,,
U118,1,NA,,,,,2022,,,,,,
U119,NA,,,,,,2022,,,,,,
U120,1,14/04/2022,0,,,,2022,,,,,,
U121,NA,,,,,,2022,OWL,,,,,
U122,1,14/04/2022,0,,,,2022,,,,,,
U123,1,13/04/2022,0,,,,2022,,,,,,
U124,1,NA,,,,,2022,,,,,,
U125,0,,NA,,,,2022,OWL,,08/05/2022,,,
U126,0,,,,,,2022,OWL,,,,,
U127,NA,,,,,,2022,,,,,,
U128,1,13/04/2022,0,,,,2022,,,,,,
U001,1,01/05/2023,NA,,,,2023,,,,,,
U010,1,06/05/2023,NA,,,,2023,,,,,,
U100,0,,,,,,2023,,,,,,
U101,0,,,,,,2023,,,,,,
U104,1,04/05/2023,1,23/05/2023,1,1,2023,,,,,,
U106,1,04/05/2023,0,NA,,,2023,,,,,,
U108,1,04/05/2023,NA,,,,2023,,,,,,
U115,1,01/05/2023,NA,,,,2023,,,,,,
U116,1,01/05/2023,NA,,,,2023,,,,,,
U124,0,NA,,,,,2023,,,,,,
U128,1,01/05/2023,NA,,,,2023,,,,,,
U018,1,16/05/2023,NA,,,,2023,,,,,,
U022,1,16/05/2023,NA,,,,2023,,,,,,
U023,1,16/05/2023,NA,,,,2023,,,,,,
U031,0,,,,,,2023,,,,,,
U034,1,01/05/2023,1,28/05/2023,1,NA,2023,,,,,,
U045,0,NA,,,,,2023,,,,,,
U052,1,16/05/2023,NA,,,,2023,,,,,,
U054,1,16/05/2023,NA,,,,2023,,,,,,
U058,1,28/04/2023,1,15/05/2023,0,1,2023,00/01/1900,,,,,
U059,0,NA,1,,,,2023,,,28/04/2023,,,
U063,1,18/04/2023,NA,,,,2023,,,,,,
U066,1,28/04/2023,1,18/05/2023,0,1,2023,,,,,,
U067,0,,,,,,2023,,,,,,
U069,1,01/05/2023,0,NA,,,2023,,,,,,
U073,1,01/05/2023,0,NA,,,2023,,,NA,,,
U079,1,02/05/2023,0,NA,,,2023,,,,,,
U080,1,01/05/2023,0,NA,,,2023,,CAM,,,,
U082,1,01/05/2023,0,NA,,,2023,,,,,,
U087,1,01/05/2023,0,NA,,,2023,,,,,,
U089,1,01/05/2023,1,26/05/2023,,1,2023,,,,,,
U092,1,01/05/2023,1,20/05/2023,,1,2023,,,,,,
U092a,1,01/05/2023,1,20/05/2023,,1,2023,,,,,,
U093,1,02/05/2023,NA,,,,2023,,,,,,
U094,1,02/05/2023,1,24/05/2023,1,1,2023,,,,,,
U098,1,04/05/2023,NA,,,,2023,,,,,,
U099,1,04/04/2023,1,23/05/2023,0,1,2023,,,,,,
U001,0,,,,,,2024,,,,,,
U002,0,,,,,,2024,,,,,,
U003,1,25/04/2024,0,NA,,,2024,,,,,,
U004,0,,,,,,2024,,,,,,
U005,0,,,,,,2024,,,,,,
U006,0,,,,,,2024,,,,,,
U007,1,25/04/2024,,,,,2024,,,,,,
U008,0,,,,,,2024,,,,,,
U009,0,,NA,,,,2024,,TAWNY,02/04/2024,,,
U010,0,,NA,,,,2024,,STOCKDOVE,02/04/2024,,,
U011,1,24/04/2024,NA,,,,2024,,,,,,
U012,1,24/04/2024,1,,0,1,2024,,,,,,
U013,1,25/04/2024,0,,,,2024,,,,,,
U014,1,25/04/2024,0,,,,2024,,,,,,
U015,1,25/04/2024,1,16/05/2024,0,1,2024,,,,,,
U016,0,,,,,,2024,,,,,,
U017,0,,,,,,2024,,,,,,
U018,1,25/04/2024,0,,,,2024,,,,,,
U019,0,,,,,,2024,,,,,,
U020,0,,,,,,2024,,,,,,
U021,0,,NA,,,,2024,,STOCKDOVE,02/04/2024,,,
U022,1,25/04/2024,0,,,,2024,,,,,,
U023,1,25/04/2024,NA,,,,2024,,,,,,
U024,1,25/04/2024,NA,,,,2024,,,,,,
U025,1,24/05/2024,NA,,,,2024,,,,,,
U025a,1,24/04/2024,0,,,,2024,,,,,,
U026,1,24/04/2024,0,,,,2024,,,,,,
U028,1,23/04/2024,0,,,,2024,,,,,,
U029,1,24/04/2024,0,,,,2024,,,,,,
U030,0,,,,,,2024,,,,,,
U031,1,23/04/2024,0,,,,2024,,,,,,
U032,NA,,,,,,2024,,,,,,
U033,NA,,,,,,2024,,,,,,
U034,0,NA,,,,,2024,,,,,,
U035,0,NA,,,,,2024,,,,,,
U036,0,NA,,,,,2024,,,,,,
U037,1,23/04/2024,1,,,1,2024,,,,,,
U038,0,,,,,,2024,,,,,,
U039,1,23/04/2024,NA,,,,2024,,,,,,
U040,1,23/04/2024,NA,,,,2024,,,,,,
U041,NA,,,,,,2024,,,,,,
U042,1,23/04/2024,1,21/05/2024,,1,2024,,,,,,
U043,0,,,,,,2024,,,,,,
U044,0,,,,,,2024,,,,,,
U044b,1,23/04/2024,1,20/05/2024,,1,2024,,,,,,
U045,0,,,,,,2024,,,,,,
U050,0,,NA,,,,2024,,,,,,
U051,0,,,,,,2024,,,,,,
U051a,0,,,,,,2024,,,,,,
U052,0,,,,,,2024,,,,,,
U053,1,25/04/2024,1,15/05/2024,1,1,2024,,,02/04/2024,,,
U054,1,25/04/2024,0,,,,2024,,,,,,
U055,1,24/04/2024,NA,,,,2024,,,,,,
U057,0,,,,,,2024,,,,,,
U058,1,24/04/2024,0,,,,2024,,,,,,
U059,1,NA,,,,,2024,,,,,,
U060,1,24/04/2024,0,,,,2024,,,,,,
U061,1,26/04/2024,1,15/05/2024,1,1,2024,,,,,,
U062,0,,,,,,2024,,,,,,
U063,0,,,,,,2024,,,,,,
U064,0,,,,,,2024,,,,,,
U065,1,24/04/2024,1,15/05/2024,1,1,2024,,,,,,
U066,1,24/04/2024,0,15/05/2024,,,2024,,,,,,
U067,0,,,,,,2024,,,,,,
U068,0,,,,,,2024,,,,,,
U069,1,24/04/2024,1,15/05/2024,NA,1,2024,,,,,,
U070,0,,,,,,2024,,,,,,
U071,0,,,,,,2024,,,,,,
U072,0,,,,,,2024,,,,,,
U073,1,24/04/2024,1,15/05/2024,0,1,2024,,,,,,
U074,1,24/04/2024,1,15/05/2024,1,1,2024,,,,,,
U075,1,14/04/2024,1,15/05/2024,0,1,2024,,,,,,
U076,1,26/04/2024,1,15/05/2024,1,NA,2024,,,03/04/2024,,,
U080,0,NA,NA,,,,2024,,,26/04/2024,,,
U081,1,26/04/2024,0,,,,2024,,,,,,
U082,1,26/04/2024,1,15/05/2024,0,1,2024,,,,,,
U083,1,26/04/2024,1,15/04/2024,NA,1,2024,,,,,,
U084,1,NA,,,,,2024,,,,,,
U085,1,NA,,,,,2024,,,,,,
U086,1,26/04/2024,1,15/05/2024,NA,1,2024,,,,,,
U087,1,26/04/2024,NA,,,,2024,,,,,,
U088,1,26/04/2024,1,15/05/2024,NA,1,2024,,,,,,
U089,1,26/04/2024,1,15/05/2024,NA,1,2024,,,,,,
U090(NEEDS REPLACED),,,,,,,2024,,,,,,
U091,1,25/04/2024,1,15/05/2024,NA,1,2024,,,,,,
U092,1,25/04/2024,1,15/05/2024,1,0,2024,,,,,,
U092a,1,25/04/2024,1,15/05/2024,1,1,2024,,,,,,
U093,1,23/04/2024,1,16/05/2024,1,1,2024,,,,,,
U094,1,23/04/2024,1,16/05/2024,0,1,2024,,,,,,
U095,1,23/04/2024,1,16/05/2024,1,1,2024,,,,,,
U096,1,23/04/2024,1,16/05/2024,0,1,2024,,,,,,
U097 (MISSING),,,,,,,2024,,,,,,
U098,1,23/04/2024,1,20/05/2024,0,1,2024,,,,,,
U099,0,,,,,,2024,,,,,,
U100,0,,,,,,2024,,,,,,
U101,0,,,,,,2024,,,,,,
U102,1,23/04/2024,1,21/05/2024,0,01/01/1900,2024,,,,,,
U103,1,23/04/2024,1,21/05/2024,0,1,2024,,,,,,eggshell no membrane
U104,1,23/04/2024,1,21/05/2024,1,1,2024,,,,,,
U105,1,23/04/2024,1,21/05/2024,0,1,2024,,,,,,
U106,1,23/04/2024,1,21/05/2024,0,1,2024,,,,,,
U107,0,,,,,,2024,,,,,,
U108,0,,,,,,2024,,,,,,
U109 (NEEDS REPLACED),,,,,,,2024,,,,,,
U110 (NEEDS REPLACED),,,,,,,2024,,,,,,
U111 (TREE CUT BOX STILL ON TREE),,,,,,,2024,,,,,,
U111a (TREE FALLEN WITH BOX ON IT),,,,,,,2024,,,,,,
U112 (BOX DOWN),,,,,,,2024,,,,,,
U113,0,,,,,,2024,,,,,,
U114,0,,,,,,2024,,,,,,
U115 (BOX DOWN REPLACED BY 116 AND 118),,,,,,,2024,,,,,,
U116,0,,,,,,2024,,,,,,
U117,0,,,,,,2024,,,,,,
U118,0,,,,,,2024,,,,,,
U119,0,,,,,,2024,,,,,,
U120,0,,,,,,2024,,,,,,
U121,0,,,,,,2024,,,,,,
U122,0,,,,,,2024,,,,,,
U123,0,,,,,,2024,,,,,,
U124,NA,,,,,,2024,,,,,,
U125,0,,,,,,2024,,,,,,
U126,1,23/04/2024,0,,,,2024,,,,,,
U127,0,23/04/2024,0,,,,2024,,,,,,
